timestamp_utc,epoch_ms,side,reason,liquidity,price,qty,notional,fee,regime,lot_id,realized_pnl
2018-03-07T17:00:00Z,1520442000000,BUY,GRID,MAKER,9776.63,0.096400,942.47,0.9425,RANGE,1,0.0000
2018-03-08T02:00:00Z,1520474400000,BUY,GRID,MAKER,9719.42,0.084200,818.38,0.8184,RANGE,2,0.0000
2018-03-09T00:15:00Z,1520554500000,BUY,GRID,TAKER,9616.18,0.078800,757.75,0.7578,RANGE,3,0.0000
2018-03-09T02:00:00Z,1520560800000,BUY,GRID,MAKER,8899.41,0.085100,757.34,0.7573,RANGE,4,0.0000
2018-03-10T00:15:00Z,1520640900000,BUY,GRID,TAKER,9514.42,0.078900,750.69,0.7507,RANGE,5,0.0000
2018-03-10T21:00:00Z,1520715600000,BUY,GRID,MAKER,8805.25,0.085300,751.09,0.7511,RANGE,6,0.0000
2018-03-11T00:15:00Z,1520727300000,BUY,GRID,TAKER,9382.06,0.019600,183.89,0.1839,RANGE,7,0.0000
2018-03-11T00:15:00Z,1520727300000,BUY,GRID,TAKER,8687.09,0.021100,183.30,0.1833,RANGE,8,0.0000
2018-03-11T17:15:00Z,1520788500000,SELL,EXIT,MAKER,9382.06,0.021100,197.96,0.1980,RANGE,8,14.2826
2018-03-11T17:45:00Z,1520790300000,SELL,EXIT,MAKER,9611.37,0.085100,817.93,0.8179,RANGE,4,59.0125
2018-03-11T17:45:00Z,1520790300000,SELL,EXIT,MAKER,9509.67,0.085300,811.17,0.8112,RANGE,6,58.5248
2018-03-12T14:45:00Z,1520865900000,BUY,GRID,MAKER,9324.99,0.083700,780.50,0.7805,RANGE,9,0.0000
2018-03-13T00:15:00Z,1520900100000,BUY,GRID,TAKER,9246.75,0.049400,456.79,0.4568,RANGE,10,0.0000
2018-03-14T00:30:00Z,1520987400000,BUY,GRID,MAKER,9168.80,0.026000,238.39,0.2384,RANGE,11,0.0000
2018-03-14T16:30:00Z,1521045000000,BUY,GRID,MAKER,8489.63,0.028100,238.56,0.2386,RANGE,12,0.0000
2018-03-15T00:15:00Z,1521072900000,BUY,GRID,TAKER,9020.55,0.012200,110.05,0.1101,RANGE,13,0.0000
2018-03-15T00:15:00Z,1521072900000,BUY,GRID,TAKER,8352.36,0.013200,110.25,0.1103,RANGE,14,0.0000
2018-03-15T02:45:00Z,1521081900000,BUY,GRID,MAKER,7729.80,0.014200,109.76,0.1098,RANGE,15,0.0000
2018-03-15T13:45:00Z,1521121500000,SELL,EXIT,MAKER,8348.19,0.014200,118.54,0.1185,RANGE,15,8.5528
2018-03-16T00:15:00Z,1521159300000,BUY,GRID,TAKER,8888.53,0.001100,9.78,0.0098,RANGE,16,0.0000
2018-03-20T20:00:00Z,1521576000000,SELL,EXIT,MAKER,9020.56,0.013200,119.07,0.1191,RANGE,14,8.5909
2018-03-21T15:15:00Z,1521645300000,SELL,EXIT,MAKER,9168.81,0.028100,257.64,0.2576,RANGE,12,18.5888
2018-03-23T02:15:00Z,1521771300000,BUY,GRID,MAKER,8393.94,0.016000,134.30,0.1343,RANGE,17,0.0000
2018-03-26T09:15:00Z,1522055700000,BUY,GRID,MAKER,8287.98,0.012400,102.77,0.1028,RANGE,18,0.0000
2018-04-21T07:00:00Z,1524294000000,SELL,EXIT,MAKER,8951.02,0.012400,110.99,0.1110,RANGE,18,8.0079
2018-04-24T00:30:00Z,1524529800000,SELL,EXIT,MAKER,9065.46,0.016000,145.05,0.1450,RANGE,17,10.4650
2018-04-24T23:15:00Z,1524611700000,SELL,EXIT,MAKER,9599.62,0.001100,10.56,0.0106,RANGE,16,0.7619
2018-04-25T02:30:00Z,1524623400000,SELL,EXIT,MAKER,9742.20,0.012200,118.85,0.1189,RANGE,13,8.5752
2018-05-05T10:00:00Z,1525514400000,SELL,EXIT,MAKER,9902.31,0.026000,257.46,0.2575,UPTREND,11,18.5754
